Item SKU,Store,Supplier,Cost per Unit ($),On Hand,Annual Demand
2371,3480,D,162.36,70,684
2371,1611,C,582.09,75,750
2371,20109,A,283.14,98,1022
2371,20109,B,143.65,181,1778
2371,20109,C,384.97,198,1795
2371,20109,D,97.54,79,803
2371,31779,A,669.8,79,690
2371,31779,C,704.71,100,933
2371,31779,D,650.71,70,693
2371,80212,A,340.42,144,1502
2371,80212,B,127.92,6,61
2380,3480,B,69.39,111,1191
2380,1611,B,162.62,83,860
2380,20109,B,318.85,102,1084
2380,20109,C,39.15,36,379
2380,20109,D,445.25,199,1732
2380,31779,A,686.19,14,150
2381,1611,C,175.45,118,1274
2381,20109,A,453.09,153,1365
2381,20109,B,352.26,100,991
2381,31779,B,645.91,186,1706
2381,80212,A,729.24,199,2130
2381,80212,B,532.25,13,128
2381,80212,C,47.58,6,53
2383,3480,A,33.52,22,187
2383,3480,C,759.71,125,1139
2383,20109,B,104.76,83,738
2383,31779,A,267.26,87,939
2383,31779,B,30.45,200,1709
2383,31779,C,217.96,56,486
2383,80212,C,338.26,132,1400
2387,3480,A,453.92,2,21
2387,3480,C,366.44,56,479
2387,3480,D,648.53,177,1578
2387,31779,A,27.64,17,164
2387,31779,C,586.24,12,119
2387,80212,A,465.59,158,1488
2403,1611,B,708.7,94,940
2403,1611,D,498.62,129,1208
2403,20109,B,85.55,155,1567
2403,31779,C,620.18,83,703
2403,80212,A,213.05,89,763
2403,80212,B,746.1,27,267
2403,80212,C,629.81,54,560
2403,80212,D,82.3,107,960
2404,3480,A,611,166,1508
2404,3480,D,68.32,172,1697
2404,1611,C,444.7,92,966
2404,20109,A,465.14,136,1381
2404,20109,B,536.16,176,1840
2404,20109,D,124.64,108,912
2404,80212,A,592.37,15,152
2406,3480,A,324.89,92,851
2406,3480,B,34.82,178,1785
2406,3480,D,622.19,187,1881
2406,20109,A,365.35,65,603
2406,31779,A,15.01,2,20
2406,31779,C,544.12,158,1352
2406,80212,A,464.91,131,1138
2407,3480,B,201.14,147,1478
2407,3480,C,174.18,180,1676
2407,1611,C,417,37,397
2407,20109,A,171.54,89,807
2407,31779,B,511.55,70,719
2407,80212,C,44.57,161,1551
2407,80212,D,553.38,190,1798
2413,3480,B,340.33,176,1722
2413,1611,B,777.92,115,1047
2413,1611,C,510.57,64,579
2413,20109,A,493.82,200,1909
2413,31779,A,498.18,129,1231
2413,80212,A,298.35,105,988
2413,80212,C,530.74,132,1150
2413,80212,D,403.34,58,607
2417,3480,A,158.22,179,1795
2417,3480,C,581.83,180,1770
2417,1611,B,482.53,72,607
2417,1611,C,685.04,116,1211
2417,1611,D,437.37,111,1168
2417,20109,C,821.26,102,1010
2417,20109,D,820.32,191,1967
2417,31779,C,537.18,127,1175
2417,80212,B,439.56,98,1034
2417,80212,C,579.54,141,1500
2417,80212,D,259.23,150,1587
2420,3480,A,795.29,158,1528
2420,3480,B,547.13,46,445
2420,3480,C,363.88,22,215
2420,1611,C,12.61,168,1574
2420,1611,D,790.75,29,264
2420,20109,A,20.33,186,1659
2420,20109,B,651.29,91,864
2420,31779,C,299.71,44,430
2420,80212,A,26.49,199,1955
2420,80212,B,670.42,81,788
2423,3480,B,573.5,62,619
2423,1611,A,305.93,95,944
2423,1611,B,558.72,17,168
2423,1611,C,94.11,0,0
2423,31779,B,724.37,147,1439
2423,31779,C,439.36,136,1444
2423,80212,A,37.67,182,1643
2431,3480,A,3.44,47,455
2431,1611,A,540.01,106,1035
2431,1611,C,339.65,91,826
2431,20109,B,443.06,59,600
2431,31779,A,464.1,36,338
2431,31779,B,851.22,190,1606
2431,31779,C,307.26,193,1869
2431,31779,D,205.5,163,1472
2432,3480,B,668.18,131,1394
2432,20109,A,533.13,106,923
2432,20109,D,649.5,176,1540
2432,31779,A,77.46,75,732
2432,80212,B,3.45,171,1799
2435,1611,B,310.71,81,812
2435,20109,A,831.39,190,1817
2435,20109,B,800.64,21,208
2435,31779,C,424.3,197,1876
2435,80212,B,679.29,108,1077
2435,80212,C,573.5,101,849
2435,80212,D,242.54,14,137
2442,3480,B,841.97,198,1754
2442,3480,C,416.67,33,325
2442,3480,D,733.03,10,108
2442,1611,B,733.93,12,109
2442,20109,A,404.35,79,682
2442,31779,B,721.37,174,1491
2442,80212,C,216.3,183,1603
2443,3480,C,403.78,19,174
2443,3480,D,655.3,41,364
2443,1611,A,759.05,125,1256
2443,1611,B,10.01,176,1505
2443,1611,C,67.28,170,1688
2443,20109,B,739.5,60,614
2443,31779,A,602.52,166,1414
2459,1611,B,684.49,34,323
2459,1611,D,680.3,78,661
2459,20109,A,443.11,186,1723
2459,20109,C,49.71,43,386
2459,31779,B,725.98,46,467
2459,31779,C,658.37,116,1111
2459,80212,C,780.78,149,1554
2459,80212,D,157.87,11,103
2460,1611,C,387.32,37,314
2460,20109,A,93.97,106,956
2460,20109,B,677.51,5,49
2460,31779,B,342.84,112,948
2460,80212,A,2.14,85,799
2460,80212,B,52.78,28,258
2460,80212,C,645.55,198,1937
2462,3480,A,290.85,114,1208
2462,1611,A,851.96,97,922
2462,1611,C,25.24,97,933
2462,1611,D,415.87,76,652
2462,20109,A,783.26,123,1236
2462,31779,C,746.85,177,1532
2462,80212,B,774.17,110,1132
2465,3480,A,117.4,164,1463
2465,1611,B,495.52,55,540
2465,1611,C,239.14,15,135
2465,1611,D,519.05,138,1306
2465,20109,C,727.39,172,1591
2465,31779,A,712.23,71,597
2465,31779,C,239.94,17,151
2467,3480,B,155.7,64,683
2467,3480,C,890.63,30,314
2467,1611,B,623.8,160,1617
2467,20109,A,296.1,0,0
2467,20109,B,20.42,35,324
2467,31779,B,524.98,186,1993
2467,31779,D,247.04,31,267
2467,80212,B,266.1,23,194
2467,80212,C,159.92,175,1645
2472,3480,A,721.54,194,1787
2472,1611,B,508,92,810
2472,1611,C,230.7,74,644
2472,1611,D,683.63,87,821
2472,80212,A,562.57,72,667
2472,80212,B,281.82,158,1676
2473,1611,B,91.96,32,269
2473,20109,C,230.6,184,1686
2473,31779,B,298.35,157,1319
2473,80212,A,242.57,153,1436
2473,80212,B,849.46,47,449
2473,80212,C,653.47,152,1340
2473,80212,D,731.47,24,206
2474,3480,B,470.61,91,881
2474,3480,C,942.35,9,84
2474,1611,C,336.55,17,143
2474,20109,A,484,15,138
2474,20109,C,522.63,138,1307
2474,31779,B,281.26,102,927
2474,80212,A,240.96,129,1328
2476,3480,C,643.12,138,1314
2476,3480,D,630.21,132,1154
2476,1611,B,915.35,99,955
2476,20109,A,767.61,104,1023
2476,31779,B,833.8,19,183
2476,80212,A,131.85,134,1280
2476,80212,C,642.14,62,612
2477,3480,A,116.12,20,195
2477,3480,B,333.85,3,31
2477,3480,C,611.9,51,547
2477,3480,D,720.8,123,1269
2477,31779,A,653.4,36,378
2477,31779,B,763.98,198,1969
2477,31779,C,534.85,16,161
2478,3480,A,571.46,154,1481
2478,3480,B,751.64,174,1859
2478,1611,B,289.74,88,885
2478,1611,D,436.27,166,1682
2478,31779,B,684.43,190,1995
2479,1611,B,805.13,135,1182
2479,1611,C,172.38,73,718
2479,20109,C,525.1,187,1834
2479,20109,D,6.44,1,10
2479,31779,A,927.63,184,1568
2479,31779,B,37.23,135,1279
2479,31779,C,87.35,108,1059
2479,80212,B,60.35,37,398
2492,3480,B,226.78,13,129
2492,3480,C,682.58,71,609
2492,20109,A,874.81,24,250
2492,20109,B,138.01,34,319
2492,20109,D,567.96,59,575
2492,31779,B,7.42,145,1394
2492,31779,C,317.11,152,1503
2492,80212,A,555.4,101,962
2499,3480,A,115.46,49,438
2499,1611,C,795.78,69,688
2499,20109,A,865.95,179,1520
2499,31779,A,651.34,106,1124
2499,31779,D,301.74,43,445
2499,80212,A,647.26,143,1375
2499,80212,C,371.34,125,1325
2500,3480,B,293.52,166,1789
2500,1611,A,75.19,139,1219
2500,1611,B,501.78,98,1055
2500,20109,A,341.2,175,1492
2500,31779,B,492.64,116,978
2500,80212,B,54.08,169,1818
2500,80212,C,743.81,188,1924
2503,3480,A,655.16,77,648
2503,3480,C,701.33,90,835
2503,3480,D,584.06,178,1500
2503,1611,B,112.41,96,828
2503,20109,B,106.59,37,312
2503,80212,A,996.41,165,1423
2503,80212,C,335.85,23,246
2507,1611,A,651.64,59,589
2507,1611,C,169.17,28,242
2507,1611,D,920.61,14,148
2507,31779,B,599.33,177,1765
2507,31779,C,939.84,104,1064
2507,31779,D,679.7,183,1903
2507,80212,B,960.08,153,1532
2507,80212,C,931.78,67,643
2515,3480,A,779.37,168,1488
2515,1611,A,324.29,147,1344
2515,1611,B,179.15,193,2049
2515,1611,D,108.32,177,1524
2515,20109,A,618.31,133,1381
2515,20109,B,10.99,190,1981
2515,20109,C,188.84,92,982
2515,20109,D,764.42,12,121
2515,31779,B,757.31,102,956
2515,80212,A,900.89,168,1536
2515,80212,C,514.36,167,1696
2523,3480,A,214.58,86,760
2523,3480,B,562.35,12,119
2523,3480,D,148.67,31,326
2523,1611,C,261.83,49,430
2523,20109,B,1024.94,46,456
2523,31779,A,741,50,452
2523,31779,C,289.77,45,378
2523,31779,D,918.09,92,869
2523,80212,D,588.75,77,647
2533,3480,A,626.21,41,408
2533,3480,B,496.77,162,1683
2533,20109,B,34.26,54,498
2533,31779,B,343.16,18,189
2537,3480,A,790.42,195,1916
2537,20109,A,138.2,160,1610
2537,31779,B,730.87,181,1571
2537,31779,D,818.61,47,407
2537,80212,B,575.8,129,1245
2537,80212,D,768.87,191,1835
2538,3480,A,986.34,105,1070
2538,3480,B,16.98,13,120
2538,3480,C,632.37,59,557
2538,1611,B,413.32,80,679
2538,20109,A,851.09,135,1318
2538,31779,A,972.08,143,1424
2538,80212,B,525.56,170,1561
2539,1611,A,448.65,9,96
2539,1611,B,976.81,75,796
2539,20109,A,160.55,177,1790
2539,20109,B,844.9,179,1663
2539,20109,C,379.06,140,1415
2539,31779,C,957.45,181,1723
2539,80212,A,745.43,41,405
2552,3480,B,203.28,104,1110
2552,3480,C,510.6,164,1764
2552,3480,D,1066.88,69,610
2552,1611,A,158.61,11,99
2552,1611,C,809.39,149,1388
2552,20109,B,632.11,170,1631
2552,20109,C,533.75,157,1358
2554,3480,A,697.06,57,586
2554,3480,C,960.16,195,2014
2554,3480,D,1041.41,126,1144
2554,20109,B,35.76,70,739
2554,20109,C,326.13,71,635
2554,80212,B,846.16,68,694
2561,3480,A,882.89,149,1324
2561,3480,B,439.91,120,1071
2561,3480,C,432.86,195,2000
2561,1611,B,289.43,90,926
2561,80212,B,371.76,197,1786
2561,80212,D,473.77,187,1888
2565,3480,B,755.25,123,1282
2565,20109,B,504.18,51,478
2565,20109,D,469.59,51,453
2565,31779,A,851.02,129,1206
2565,80212,B,772.56,191,2046
2565,80212,D,621.99,136,1144
2575,3480,C,284.79,32,316
2575,1611,A,1075.88,151,1617
2575,1611,B,1130.69,162,1637
2575,20109,C,551.92,69,716
2575,31779,A,106.8,110,1133
2575,80212,A,1034.28,123,1177
2575,80212,C,1044.77,171,1823
2576,1611,A,1145.72,107,972
2576,1611,B,905.79,79,672
2576,1611,C,57.56,143,1410
2576,1611,D,34.5,119,1267
2576,20109,A,600.48,132,1392
2576,20109,C,100.95,120,1044
2576,20109,D,415.27,188,1778
2576,31779,A,357.49,49,499
2576,31779,C,67.54,153,1357
2576,80212,A,108.95,33,279
2576,80212,B,321.29,54,556
2576,80212,C,319.73,161,1570
2577,3480,A,321.13,93,849
2577,1611,A,949.07,129,1177
2577,20109,B,62.36,48,449
2577,31779,A,123.65,60,589
2577,31779,C,587.07,96,817
2577,31779,D,637.65,50,514
2577,80212,B,335.19,191,1986
2580,3480,A,627.92,86,806
2580,3480,B,1030.63,119,1260
2580,1611,B,989.83,147,1490
2580,1611,C,305.83,46,392
2580,20109,A,81.87,2,20
2580,20109,D,212.86,130,1368
2580,31779,C,1159.94,31,287
2580,80212,B,857.33,72,744
2580,80212,C,1118.17,114,1113
2580,80212,D,934.51,44,409
2583,3480,D,685.85,26,277
2583,1611,B,313.41,12,117
2583,1611,C,999.89,42,357
2583,20109,B,835.4,147,1491
2583,80212,A,163.21,191,1989
2587,3480,A,122.25,73,684
2587,3480,B,252.18,87,739
2587,31779,B,430.05,170,1636
2587,31779,C,856.59,173,1732
2587,80212,A,44.91,10,91
2587,80212,D,150.14,180,1834
2589,1611,A,205.46,20,193
2589,1611,C,1025.74,77,750
2589,20109,B,954.93,181,1787
2589,31779,A,166.2,64,634
2589,31779,B,122.73,133,1175
2589,80212,A,484.74,144,1361
2589,80212,D,80.37,190,1660
2591,3480,C,1097.27,60,522
2591,3480,D,869.93,137,1230
2591,1611,B,583.75,93,828
2591,20109,A,3.85,117,1198
2591,20109,C,136.6,114,1172
2591,31779,A,255.63,78,680
2591,80212,A,472.24,173,1571
2591,80212,B,239.19,151,1291
2596,1611,A,789.81,143,1424
2596,1611,B,649.23,76,810
2596,20109,A,777.74,16,142
2596,31779,A,352.94,22,209
2596,31779,B,585.33,167,1480
2596,31779,C,629.79,67,660
2596,80212,C,1042.98,100,1069
2618,3480,A,1214.52,89,956
2618,3480,B,315.87,40,349
2618,3480,D,309.05,104,904
2618,1611,A,177.81,37,317
2618,1611,B,646.3,189,2003
2618,20109,A,1190.59,41,441
2618,80212,C,383.29,118,1179
2619,3480,C,1077,5,50
2619,3480,D,651.01,186,1736
2619,1611,B,437.06,112,1101
2619,20109,B,304.52,133,1359
2619,20109,C,204.66,160,1599
2619,31779,B,53.58,181,1659
2619,80212,A,642.04,126,1275
2628,3480,B,301.15,11,114
2628,3480,C,820.66,30,314
2628,1611,A,548.96,175,1748
2628,1611,B,768.41,95,993
2628,1611,D,594.88,185,1750
2628,20109,A,869.9,98,966
2628,31779,B,917.54,188,1930
2628,31779,C,951.07,1,10
2628,80212,B,867.13,119,1263
2628,80212,C,875.89,74,654
2629,3480,A,54.98,117,1162
2629,1611,B,1025.67,150,1265
2629,20109,A,1226.18,192,1894
2629,20109,C,986.57,42,411
2629,31779,A,112.06,102,887
2629,31779,D,579.6,32,273
2629,80212,C,922.75,163,1616
2633,3480,A,530.02,163,1752
2633,3480,B,318.97,134,1173
2633,3480,C,693.18,199,1840
2633,1611,C,451.91,143,1414
2633,20109,A,73.09,191,1997
2633,80212,A,974.65,156,1406
2633,80212,C,734.66,48,439
2638,3480,B,358.01,144,1358
2638,3480,C,291.74,17,158
2638,3480,D,755.77,110,1144
2638,20109,C,720.22,56,597
2638,31779,A,1004.67,107,1001
2638,31779,B,786.48,95,907
2638,31779,C,290.84,47,453
2644,3480,B,368.79,57,570
2644,3480,D,1255.26,123,1097
2644,1611,B,909.77,164,1708
2644,80212,C,1244.2,83,727
2646,3480,A,752.22,166,1718
2646,3480,B,268.1,46,476
2646,3480,D,1165.86,126,1177
2646,20109,B,89.44,18,170
2646,31779,A,264.21,171,1505
2646,31779,C,1217.55,39,410
2646,31779,D,1154.5,151,1450
2646,80212,A,857.41,118,1193
2651,3480,A,940.22,42,421
2651,3480,B,303.55,31,299
2651,3480,D,1153.65,83,751
2651,1611,A,368.82,123,1178
2651,31779,C,663.12,97,1017
2651,31779,D,852.43,71,702
2652,3480,A,127.13,112,1062
2652,3480,C,443.97,178,1655
2652,3480,D,758.64,116,1236
2652,1611,A,605.03,188,1661
2652,1611,B,9.88,180,1763
2652,1611,C,1295.24,33,308
2652,1611,D,1056.47,100,959
2652,20109,A,612.57,29,248
2652,20109,C,1255.43,119,1015
2652,31779,A,2.09,137,1422
2652,31779,C,636.42,88,931
2652,80212,A,1204.99,121,1220
2652,80212,C,577.18,172,1650
2652,80212,D,125.05,86,786
2653,3480,A,305.55,178,1530
2653,3480,C,945.07,47,501
2653,1611,A,1117.84,93,863
2653,1611,B,1196.18,78,698
2653,1611,C,423.32,140,1357
2653,1611,D,743.62,61,601
2653,80212,A,871.68,53,479
2653,80212,C,975.26,185,1854
2653,80212,D,584.59,118,1129
2657,3480,A,625.57,188,1791
2657,20109,B,1277.17,44,474
2657,20109,C,713.71,197,2069
2657,31779,B,901.06,152,1326
2657,80212,A,767.54,13,114
2657,80212,B,68.67,26,264
2657,80212,C,1256.79,30,302
2667,3480,A,1002.87,157,1455
2667,3480,B,152.65,162,1746
2667,3480,C,91.34,2,18
2667,3480,D,932.56,146,1511
2667,1611,A,192.39,48,489
2667,1611,B,278.12,181,1570
2667,1611,C,10,38,339
2667,20109,B,369.86,102,1071
2667,80212,B,1020.62,84,845
2667,80212,C,882.63,50,436
2667,80212,D,1201.16,106,1066
2670,3480,B,1312.83,196,1672
2670,1611,B,527.26,135,1422
2670,1611,D,870.85,94,995
2670,20109,B,1247.14,153,1373
2670,31779,A,10.35,22,209
2670,80212,B,38.61,200,2056
2670,80212,C,380.08,32,322
2683,3480,A,1099.84,90,923
2683,3480,B,863.18,146,1297
2683,3480,C,1149.65,110,1035
2683,20109,B,1075.11,84,800
2683,31779,A,738.59,10,106
2683,31779,C,641.09,140,1228
2683,31779,D,1173.15,75,688
2699,3480,B,1181.09,27,269
2699,1611,C,901.96,178,1731
2699,20109,C,1178.07,135,1270
2699,31779,C,337.5,192,2032
2699,31779,D,875.48,153,1506
2699,80212,A,274.25,6,55
2699,80212,D,1257.73,61,643
2705,3480,A,69.33,180,1525
2705,3480,C,296.11,161,1464
2705,1611,B,462.22,132,1260
2705,1611,C,552.77,77,795
2705,1611,D,902.79,128,1368
2705,31779,A,28.97,200,1769
2705,80212,B,282.29,174,1618
2707,3480,A,958.66,131,1342
2707,1611,B,184.94,8,76
2707,20109,B,338.95,82,696
2707,20109,C,161.63,56,567
2707,20109,D,1011.55,15,141
2707,31779,B,1400.35,169,1507
2707,80212,B,536.86,70,604
2708,3480,A,520.11,49,525
2708,3480,B,738.62,198,1963
2708,3480,C,409.17,12,109
2708,3480,D,674.32,9,83
2708,20109,B,562.26,16,170
2708,31779,B,1347.62,27,277
2711,3480,B,559.75,88,745
2711,3480,C,256.34,141,1337
2711,20109,A,141.8,33,339
2711,20109,C,42.06,49,519
2711,20109,D,710.95,89,893
2711,31779,B,39.78,17,163
2711,80212,A,816.46,146,1549
2718,3480,B,512.68,15,147
2718,1611,C,26.4,15,126
2718,20109,A,363.09,91,913
2718,20109,B,426.97,122,1196
2718,20109,C,1242.68,91,930
2718,31779,C,837.86,97,828
2718,80212,A,1023.2,174,1469
2726,3480,B,659.84,181,1760
2726,1611,B,952.22,178,1890
2726,1611,C,602.32,2,18
2726,20109,A,871.46,57,611
2726,20109,C,1246.39,129,1213
2726,20109,D,299.47,28,265
2726,31779,A,460.74,12,122
2728,3480,B,107.04,78,723
2728,20109,A,176.07,3,28
2728,20109,B,871.3,150,1535
2728,20109,D,665.36,12,107
2728,31779,A,586.2,36,316
2728,31779,C,279.62,137,1208
2728,80212,B,580.05,16,146
2741,1611,B,1057.54,121,1076
2741,1611,C,1247.08,127,1249
2741,20109,A,1218.04,48,495
2741,20109,C,317.4,110,1127
2741,31779,B,556.27,169,1655
2741,31779,D,959.75,45,476
2741,80212,B,814.57,153,1316
2745,3480,B,1299.36,53,553
2745,3480,C,1188.05,52,535
2745,3480,D,656.25,149,1310
2745,1611,B,60.15,153,1458
2745,20109,A,1450.87,110,1136
2745,20109,B,160.7,177,1695
2745,20109,C,23.39,171,1739
2745,20109,D,1409.69,117,1033
2745,31779,C,276.53,96,880
2745,80212,A,1442.4,97,991
2745,80212,B,617.16,88,943
2757,3480,B,1391.67,185,1760
2757,1611,B,19.76,94,873
2757,1611,C,293.12,65,594
2757,1611,D,414.33,114,1020
2757,80212,A,736.31,200,2004
2757,80212,C,761.9,178,1513
2766,3480,B,519.61,86,780
2766,3480,C,1133.51,136,1331
2766,3480,D,627.9,113,1124
2766,20109,B,1009.14,188,1914
2766,31779,A,538.02,69,618
2766,31779,B,817.44,18,156
2766,80212,B,1490.59,88,796
2774,1611,A,1106.84,177,1570
2774,20109,A,478.53,34,341
2774,31779,A,726.57,59,548
2774,80212,C,171.54,76,762
2776,3480,A,38.72,97,869
2776,1611,B,1254.78,153,1566
2776,20109,A,1143.69,56,561
2776,31779,B,1226.14,124,1331
2776,31779,C,1084.79,143,1352
2776,31779,D,1215.97,191,1742
2776,80212,B,1428.12,161,1450
2781,1611,A,124.49,116,1028
2781,1611,C,596.82,135,1218
2781,20109,A,583.74,197,2082
2781,20109,C,663.73,85,863
2781,31779,B,1489.25,156,1651
2781,31779,C,1442.46,86,894
2781,31779,D,1121.81,80,862
2781,80212,A,1542.42,165,1509
2786,3480,B,1534.78,4,36
2786,3480,C,556.36,121,1257
2786,1611,A,224.42,51,541
2786,1611,B,1001.15,198,1869
2786,1611,C,836.03,159,1598
2786,20109,B,1229.45,32,273
2786,31779,C,914.12,115,1225
2790,3480,B,1241.41,146,1269
2790,3480,C,1051.02,116,1041
2790,1611,B,953.67,194,1978
2790,1611,C,1535.15,67,589
2790,20109,A,1540.75,147,1290
2790,31779,A,1402.96,29,251
2790,80212,A,902.04,163,1729
2792,3480,C,291.31,82,862
2792,20109,A,1053.52,99,899
2792,20109,B,862.93,89,842
2792,31779,A,426.32,125,1072
2792,31779,C,219.71,188,1763
2792,31779,D,1493.62,26,223
2792,80212,B,979.16,7,69
2797,3480,B,1045.79,135,1234
2797,1611,B,967.95,179,1621
2797,1611,C,1082.73,166,1481
2797,1611,D,919.46,163,1669
2797,20109,C,977.11,173,1654
2797,20109,D,40.68,149,1265
2800,3480,A,526.81,18,172
2800,3480,B,1498.59,40,397
2800,1611,B,118.93,4,43
2800,20109,A,1477.56,177,1640
2800,20109,B,678.23,111,1096
2800,31779,B,1591.77,63,566
2800,31779,D,1223.15,63,605
2803,3480,A,1229.31,19,170
2803,3480,B,1038.05,198,1992
2803,31779,A,1340.92,160,1531
2803,31779,C,11.42,28,256
2803,80212,B,393.54,113,1085
2803,80212,C,22.31,89,768
2803,80212,D,1320.55,28,250
2806,1611,A,275.27,1,9
2806,20109,A,1483.87,136,1225
2806,20109,C,49.98,146,1524
2806,20109,D,944.41,136,1459
2806,31779,B,1041.21,165,1518
2806,31779,C,1287,21,189
2806,80212,B,821.26,108,1017
2808,3480,B,7.98,26,264
2808,3480,D,711.49,172,1455
2808,1611,B,376.43,160,1409
2808,31779,A,146.93,191,1912
2808,31779,B,671.26,134,1353
2808,31779,D,1438.15,17,149
2808,80212,C,984.53,54,459
2809,3480,C,1489.46,72,715
2809,1611,A,52.8,185,1792
2809,1611,B,1152.21,126,1079
2809,20109,B,664.8,56,587
2809,20109,D,1440.29,165,1753
2823,3480,A,1383.06,80,713
2823,3480,B,806.56,64,664
2823,1611,B,913.08,55,495
2823,1611,C,618.32,138,1191
2823,31779,A,451.84,200,2150
2823,31779,C,1058.89,98,841
2823,31779,D,612.13,159,1529
2830,3480,B,322.89,177,1616
2830,3480,C,1326.31,114,1138
2830,20109,C,536.79,124,1162
2830,20109,D,1254.49,48,465
2830,31779,B,194.23,63,658
2830,31779,C,1038.69,31,285
2832,3480,A,898.5,158,1520
2832,3480,C,729.47,194,1670
2832,1611,B,48.67,76,739
2832,1611,C,1139.06,81,775
2832,1611,D,1024.15,98,860
2832,20109,A,1209.22,151,1375
2832,31779,C,1356.41,172,1716
2834,1611,A,1603.65,82,875
2834,1611,B,774.29,83,827
2834,1611,D,551.48,87,909
2834,20109,A,657.47,59,575
2834,20109,C,1566.59,68,684
2834,80212,A,1150.77,64,599
2839,3480,B,494.73,72,653
2839,1611,A,859.43,77,672
2839,1611,C,769.18,37,354
2839,1611,D,1046.35,12,123
2839,20109,B,1027.69,102,882
2839,20109,C,239.22,193,1817
2839,31779,A,1585.65,146,1228
2839,80212,A,1432.29,43,430
2847,3480,C,149.2,56,551
2847,31779,A,1400.54,73,721
2847,31779,B,828.02,200,1864
2847,80212,B,260.08,17,159
2850,3480,B,807.96,18,167
2850,3480,C,605.7,5,48
2850,3480,D,1435.76,93,865
2850,1611,B,561.65,85,901
2850,1611,C,1154.77,144,1368
2850,20109,A,62.69,132,1414
2850,20109,B,736.44,193,2047
2850,20109,C,106.32,172,1850
2850,20109,D,1292.12,173,1739
2850,31779,A,784.24,82,730
2850,31779,B,1359.18,109,1069
2850,31779,C,636.98,100,840
2850,80212,B,469.26,146,1260
2850,80212,C,141.16,148,1506
2854,3480,A,1584.79,14,139
2854,20109,B,1253.93,49,433
2854,20109,C,201.31,23,196
2854,31779,A,1242.84,119,1170
2854,31779,B,851.4,36,382
2854,31779,D,1497.44,92,880
2854,80212,B,1491.22,128,1135
2863,3480,A,1199.92,104,1016
2863,3480,D,680.91,47,395
2863,1611,B,1082.74,4,39
2863,1611,C,53.68,155,1569
2863,20109,B,1572.28,42,377
2863,31779,A,1078.85,27,280
2863,80212,C,161.68,62,649
2865,3480,A,1080.49,131,1258
2865,3480,B,498.08,131,1331
2865,3480,C,1673.95,18,156
2865,3480,D,1004.16,60,567
2865,1611,B,1569.73,148,1584
2865,20109,C,950.89,67,580
2865,31779,C,348.2,160,1566
2865,80212,B,31.48,173,1517
2865,80212,D,51.47,43,436
2866,1611,B,972.11,75,773
2866,1611,C,1179.21,61,597
2866,80212,A,1247.59,6,57
2866,80212,C,1058.37,23,234
2877,1611,A,939.09,45,480
2877,20109,B,38.2,118,1225
2877,20109,C,177.35,5,42
2877,31779,B,528.53,134,1307
2877,31779,C,1174.85,69,615
2877,80212,A,1615.79,187,1971
2877,80212,D,668.54,125,1173
2882,3480,A,166.43,101,1016
2882,3480,B,1284.04,194,1796
2882,3480,C,281.1,42,403
2882,1611,A,524.82,49,515
2882,20109,A,1733.97,186,1582
2882,20109,B,1698.01,147,1474
2882,31779,A,1082.31,63,582
2882,31779,C,1726.18,59,529
2882,31779,D,287.69,28,273
2882,80212,A,588.96,51,433
2882,80212,B,1739.53,163,1718
2882,80212,C,937.09,120,1293
2892,3480,A,443.7,41,388
2892,3480,B,1605.86,85,819
2892,1611,A,73.95,135,1263
2892,1611,D,1715.27,160,1466
2892,20109,A,46.99,29,285
2892,20109,B,224.89,89,893
2892,31779,C,1298.22,127,1198
2896,3480,B,267.07,26,229
2896,3480,D,1268.54,78,810
2896,20109,A,1507.66,191,1759
2896,20109,C,97.12,136,1263
2896,31779,C,1428.48,197,1989
2896,31779,D,1232.69,196,2053
2896,80212,A,501.58,113,1147
2899,3480,C,857.19,30,298
2899,3480,D,1451.23,188,1744
2899,1611,A,19.15,24,220
2899,31779,B,910.03,54,463
2899,31779,C,726.99,60,624
2899,80212,B,1368.17,91,849
2900,3480,C,179.11,37,392
2900,3480,D,1404.24,110,970
2900,1611,B,1378.99,29,266
2900,1611,C,223.68,3,26
2900,20109,C,626.21,108,917
2900,80212,A,993.75,12,115
2900,80212,C,1708.31,168,1710
2915,3480,B,467.18,58,571
2915,1611,B,550.24,119,1048
2915,1611,D,808.91,181,1910
2915,20109,C,1132.55,178,1541
2915,31779,C,1169.28,148,1535
2915,80212,A,631.5,93,960
2915,80212,C,241.79,103,1079
2922,3480,A,1543.35,134,1357
2922,3480,B,1376.91,24,233
2922,1611,A,619.8,106,978
2922,1611,C,679.45,181,1558
2922,20109,A,1597.89,74,789
2922,20109,D,934.82,121,1216
2922,31779,B,1248.25,200,2103
2922,31779,C,1061.12,47,426
2922,31779,D,717.24,6,55
2922,80212,A,532.88,100,989
2922,80212,C,40.76,144,1249
2922,80212,D,475.57,148,1308
2928,3480,B,720.21,100,966
2928,3480,C,152.28,140,1467
2928,1611,C,761.76,41,365
2928,31779,B,25.91,109,1159
2928,31779,C,479.63,55,533
2928,80212,A,151.52,182,1897
2928,80212,C,325.8,5,46
2942,3480,A,1029.82,72,700
2942,3480,B,1792.72,177,1547
2942,3480,D,64.22,124,1316
2942,1611,B,309.34,145,1288
2942,20109,B,115.47,192,1748
2942,31779,A,838.11,119,1052
2942,31779,C,1071.79,163,1376
